kernel,requested_ratio,actual_allocation_ratio,tenant_requested_bytes,block,policy,high_s,low_s,both_finished_s,high_kernel_ms,low_kernel_ms,release_skew_us,source
gemm,1.2,1.1998953655745075,20201590784,3,memory_only,25.870948,31.82192,31.82192,6653.88,1477.61,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block03_memory_only
gemm,1.2,1.1998953655745075,20201590784,3,combined,13.121202,22.121679,22.121679,1479.19,1479.98,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block03_combined
gemm,1.2,1.1998953655745075,20201590784,3,baseline,139.493925,139.243955,139.493925,44197.5,44208.7,0.95367431640625,gemm/ratio-1.2/combined_20260908_051952/block03_baseline
gemm,1.2,1.1998953655745075,20201590784,3,sched_only,13.49345,19.424074,19.424074,1482.85,1482.21,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block03_sched_only
gemm,1.2,1.1998953655745075,20201590784,3,prefetch_only,25.700125,31.590316,31.590316,6581.33,1479.34,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block03_prefetch_only
gemm,1.2,1.1998953655745075,20201590784,4,combined,13.04669,22.024881,22.024881,1482.97,1484.09,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block04_combined
gemm,1.2,1.1998953655745075,20201590784,4,baseline,139.395066,139.676475,139.676475,44409.0,44372.3,0.95367431640625,gemm/ratio-1.2/combined_20260908_051952/block04_baseline
gemm,1.2,1.1998953655745075,20201590784,4,sched_only,13.524188,19.466668,19.466668,1478.38,1478.26,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block04_sched_only
gemm,1.2,1.1998953655745075,20201590784,4,prefetch_only,25.875444,31.795905,31.795905,6711.35,1477.09,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block04_prefetch_only
gemm,1.2,1.1998953655745075,20201590784,4,memory_only,26.042341,32.003248,32.003248,6739.4,1483.61,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block04_memory_only
gemm,1.5,1.4998683097714272,25251987456,0,baseline,174.56573,174.198061,174.56573,54926.6,55304.2,0.0,gemm/ratio-1.5/combined_20260908_064409/block00_baseline
gemm,1.5,1.4998683097714272,25251987456,0,sched_only,16.539912,23.984833,23.984833,1852.3,1852.77,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block00_sched_only
gemm,1.5,1.4998683097714272,25251987456,0,prefetch_only,136.115898,143.342323,143.342323,49241.7,1847.05,2.1457672119140625,gemm/ratio-1.5/combined_20260908_064409/block00_prefetch_only
gemm,1.5,1.4998683097714272,25251987456,0,memory_only,136.919537,144.20254,144.20254,49384.5,1843.44,4.0531158447265625,gemm/ratio-1.5/combined_20260908_064409/block00_memory_only
gemm,1.5,1.4998683097714272,25251987456,0,combined,16.115183,27.436747,27.436747,1848.83,1848.93,2.86102294921875,gemm/ratio-1.5/combined_20260908_064409/block00_combined
gemm,1.5,1.4998683097714272,25251987456,1,sched_only,16.590368,23.951669,23.951669,1852.45,1851.88,1.1920928955078125,gemm/ratio-1.5/combined_20260908_064409/block01_sched_only
gemm,1.5,1.4998683097714272,25251987456,1,prefetch_only,136.135946,143.367371,143.367371,48982.2,1848.33,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block01_prefetch_only
